b83b3a6b|planet|<null>|<null>|Gvxj|2.509070064222|<null>|255.662426218411|-26.054882579749|-87.627256737417|50.432921262186
34d1529d|planet|<null>|<null>|U8d|3.054042931796|<null>|296.815431862523|-95.002729771082|-2.350444414327|-56.024530632778
9c4153c|planet|<null>|<null>|U|3.420616954972|<null>|28.24195668876|-76.142091537022|73.966603490974|-74.074355831344
c29a7987|comet|<null>|<null>|X4x1j|<null>|<null>|1.51204937149e+14|-58.667702553543|39.237732961824|-92.561225266299
adf2ad94|comet|<null>|<null>|Giqf|<null>|<null>|5.41767924791e+12|3.139151483893|50.919201907241|27.630588168986
904f5284|planet|<null>|<null>|I|5.431049351804|<null>|32.261679085779|15.069115748847|-40.644886342476|-18.864993270423
6cd8c44a|star|orange|0.603676|566fq|1.071584|4008.973918|1.051307|-89.409344|-65.962307|-13.535087
9ab986d4|star|blue|1800731.302557999967|Knprn|18.44639|53656.291701000002|66.564975|-30.41333|23.901851|-60.926909
9080ba43|planet|<null>|<null>|2a3u|1.323019109307|<null>|158.204343232942|-8.840630303092|22.953534659262|69.913269144942
cb8b7c4|comet|<null>|<null>|Qki|<null>|<null>|1.49155470837e+14|54.954622455564|-0.2378925461276|43.737023705221
f7b9a5db|planet|<null>|<null>|Csrmf|3.513210475736|<null>|213.661605881348|-64.369768265204|-14.536154585183|98.610667884526
a4ae64e1|star|blue|1791096.243647000054|Zgjzrbxfd|17.672611|36426.187464000002|78.73936|4.965822|-51.934605|-26.788178
52942299|planet|<null>|<null>|4|4.187747338567|<null>|283.483644759645|6.934234580259|-37.588186702484|57.56314967045
ff99e97d|star|blue|2021388.926552999998|Abecw|16.077959|37129.056902999997|69.351597|83.496498|30.200628|-23.776235
a4940260|comet|<null>|<null>|Hgzv|<null>|<null>|5.86129195024e+13|23.089979334956|17.991296562181|-64.803652461143
ba793d51|star|blue|2136612.749536999967|Wvvmcjku|16.559657|54848.647271000002|61.79723|74.064374|-63.094647|55.83711
c397379c|planet|<null>|<null>|6j|1.354399876094|<null>|282.799083015088|25.918105320557|-15.365716301653|-5.697713908996
6432328e|comet|<null>|<null>|L8lap|<null>|<null>|1.91733262758e+13|24.622460817088|38.815829557479|-50.888199166745
ab59c041|star|blue|2088257.141409999924|Fxfbfll|15.486508|56266.866676999998|74.532091|-54.931207|99.934797|-65.430161
75ac3456|star|red|0.077574|Rgnm8|0.888876|3210.333218|0.648072|-76.126171|12.567788|7.217379
